Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude,price_m2,x,y
732600,1000,74,1,2,1,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.552129,-46.692244,9900.0,327272.4105767013,7394338.1249293005
1990000,2400,164,4,5,2,3,1,1,1,0,Vila Madalena/São Paulo,sale,apartment,-23.551613,-46.699106,12134.146341463415,326571.18748430826,7394386.98030822
720000,700,70,2,2,1,1,1,0,1,1,Vila Madalena/São Paulo,sale,apartment,-23.547687,-46.692594,10285.714285714286,327230.87109401426,7394829.612730883
1680000,1580,155,3,5,3,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.55259,-46.691104,10838.709677419354,327389.39598478156,7394288.447003735
1200000,900,56,2,2,1,2,0,1,1,0,Vila Madalena/São Paulo,sale,apartment,-23.553087,-46.69789,21428.571428571428,326697.26372538134,7394225.219264653
1950000,2207,122,3,2,1,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.558541,-46.69232,15983.606557377048,327273.0357053419,7393627.964333836
2105860,0,149,4,1,3,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.548473,-46.693005,14133.288590604026,327189.9383337615,7394742.07520839
1475610,1000,118,3,3,1,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.549317,-46.692097,12505.169491525423,327283.7422154603,7394649.704579635
1350000,1350,112,3,3,1,2,0,1,1,0,Vila Madalena/São Paulo,sale,apartment,-23.554729,-46.689597,12053.57142857143,327546.0378652263,7394053.387281253
1880000,1050,149,4,5,2,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.548235,-46.692536,12617.44966442953,327237.5089586506,7394768.99681192
720000,900,73,2,2,1,1,1,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.544957,-46.693206,9863.013698630137,327164.81941005547,7395131.196693635
1100000,1000,94,3,3,1,1,1,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.543664,-46.704285,11702.127659574468,326031.9929587572,7395260.984057102
650000,0,67,2,2,1,1,1,0,0,1,Vila Madalena/São Paulo,sale,apartment,-23.56215,-46.692518,9701.492537313432,327257.54321695445,7393228.062388191
1500000,1650,156,4,5,3,3,0,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.552596,-46.691106,9615.384615384615,327389.19964339817,7394287.780151558
928000,1100,97,3,2,1,1,1,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.545566,-46.693608,9567.01030927835,327124.5733690794,7395063.270978504
697400,500,67,3,2,1,1,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.544082,-46.690373,10408.955223880597,327452.91513911425,7395231.507199727
750000,835,75,2,2,1,1,0,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.552039,-46.698436,10000.0,326640.14748971874,7394340.615304134
2680001,0,168,2,3,2,3,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.554117,-46.686749,15952.386904761905,327835.9878777389,7394124.584860548
820000,1500,93,2,2,1,1,1,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.54652,-46.694236,8817.20430107527,327061.70566685253,7394956.86699052
820000,1500,90,2,2,1,1,0,1,0,0,Vila Madalena/São Paulo,sale,apartment,-23.546733,-46.694201,9111.111111111111,327065.557708696,7394933.3214659095
1100000,0,93,2,1,2,1,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.546658,-46.692002,11827.956989247312,327289.9659239305,7394944.278131245
980000,570,67,2,2,1,1,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.544408,-46.691265,14626.865671641792,327362.2707236173,7395194.331954624
4125000,0,275,4,5,4,4,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.549316,-46.692097,15000.0,327283.74090839946,7394649.815320189
1150000,0,105,2,3,2,2,0,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.557858,-46.687365,10952.380952380952,327777.97852961556,7393709.564634521
836893,0,68,2,2,1,1,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.549871,-46.693105,12307.25,327181.5573494716,7394587.139295517
1500000,1750,126,3,3,1,2,0,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.551684,-46.687401,11904.761904761905,327766.2543036751,7394393.232857127
1250700,1800,128,3,4,1,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.545901,-46.707682,9771.09375,325688.11796147947,7395009.129967703
530000,335,70,2,2,1,1,0,0,0,0,Vila Madalena/São Paulo,sale,apartment,-23.544128,-46.694184,7571.428571428572,327063.8847532332,7395221.821202347
1400000,650,95,3,3,1,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.555403,-46.681228,14736.842105263158,328401.2897712107,7393988.794827403
522900,700,83,3,2,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.560846,-46.604266,6300.0,336264.7951097747,7393476.100080308
420000,0,71,3,2,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.563045,-46.594365,5915.492957746479,337278.20341894415,7393243.869334949
369000,295,63,2,2,1,1,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.552691,-46.623627,5857.142857142857,334278.17476082,7394356.909243904
686700,800,109,4,4,3,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.560846,-46.604266,6300.0,336264.7951097747,7393476.100080308
360000,543,50,2,2,1,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5481,-46.609283,7200.0,335736.8092081861,7394881.817356305
1195614,0,110,3,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.556404,-46.606369,10869.218181818182,336044.60586616735,7393965.590756746
2450000,1452,221,3,4,3,4,1,1,1,0,Mooca/São Paulo,sale,apartment,-23.550987,-46.590908,11085.972850678732,337616.2673900641,7394583.056137738
919990,701,126,3,4,3,2,1,1,1,0,Mooca/São Paulo,sale,apartment,-23.549196,-46.595386,7301.507936507936,337156.9106917314,7394776.305569637
1550000,1600,172,3,5,3,3,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.556104,-46.607512,9011.627906976744,335927.55104581953,7393997.503767972
580000,750,87,3,3,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.55654,-46.604418,6666.666666666667,336243.94059157686,7393952.761337684
1650000,1100,185,4,4,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.55675,-46.598875,8918.918918918918,336810.05105255597,7393935.8298620675
629950,0,83,3,3,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.560043,-46.604831,7589.759036144578,336206.1237077847,7393564.376395151
441000,550,69,2,2,1,2,1,0,1,1,Mooca/São Paulo,sale,apartment,-23.559428,-46.60377,6391.304347826087,336313.6697888024,7393633.692358784
550000,0,77,3,2,1,2,0,0,0,0,Mooca/São Paulo,sale,apartment,-23.557436,-46.595304,7142.857142857143,337175.43707482214,7393863.926427502
203000,190,34,2,2,1,1,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.55989,-46.594119,5970.588235294118,337299.428124764,7393593.52393678
680000,700,85,3,2,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.563142,-46.584295,8000.0,338306.2521383058,7393244.529459712
345300,0,58,3,2,0,1,1,0,0,1,Mooca/São Paulo,sale,apartment,-23.549321,-46.583944,5953.448275862069,338325.16788913787,7394775.415425833
995000,0,120,3,3,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.565535,-46.601888,8291.666666666666,336513.3477566466,7392959.568439676
369000,0,60,3,2,1,1,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.556681,-46.591792,6150.0,337533.02376016334,7393951.518987168
927000,820,140,3,2,1,3,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.556407,-46.606371,6621.428571428572,336044.40542120696,7393965.256256333
880000,0,118,3,4,3,2,1,0,1,1,Mooca/São Paulo,sale,apartment,-23.558443,-46.593451,7457.627118644068,337365.83661647106,7393754.518661279
526000,0,70,2,2,1,1,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.580576,-46.586502,7514.285714285715,338102.3485344434,7391311.450576747
660000,720,85,3,2,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.563142,-46.584295,7764.705882352941,338306.2521383058,7393244.529459712
385000,530,64,2,2,1,1,1,1,1,0,Mooca/São Paulo,sale,apartment,-23.557841,-46.591533,6015.625,337560.8898114866,7393823.357868921
522900,650,83,3,2,1,2,1,0,1,1,Mooca/São Paulo,sale,apartment,-23.559428,-46.60377,6300.0,336313.6697888024,7393633.692358784
340000,452,65,3,2,1,1,1,1,1,0,Mooca/São Paulo,sale,apartment,-23.550464,-46.604648,5230.7692307692305,336212.92918931367,7394625.338181602
600000,882,82,2,2,1,1,0,1,1,0,Mooca/São Paulo,sale,apartment,-23.557555,-46.606281,7317.073170731707,336055.0177569101,7393838.232709885
441000,0,70,2,2,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.559841,-46.604037,6300.0,336286.9258684829,7393587.652794274
390000,553,31,1,2,1,1,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.618622,-46.685512,12580.645161290322,328046.3800576397,7386982.736377673
